"gene_symbol","uniprot_id","protein_groups","protein_description","mol_weight_da","n_precursors_exp","n_samples_detected","pct_samples_detected","median_precursors_used","mean_log2_D14","mean_log2_D21","mean_log2_M03","mean_log2_M06","mean_log2_M12","mean_log2_M18","D14.rep1.Quantity.log2","D14.rep2.Quantity.log2","D14.rep3.Quantity.log2","D14.rep4.Quantity.log2","D14.rep5.Quantity.log2","D21.rep1.Quantity.log2","D21.rep2.Quantity.log2","D21.rep3.Quantity.log2","D21.rep4.Quantity.log2","D21.rep5.Quantity.log2","M03.rep1.Quantity.log2","M03.rep2.Quantity.log2","M03.rep3.Quantity.log2","M03.rep4.Quantity.log2","M03.rep5.Quantity.log2","M06.rep1.Quantity.log2","M06.rep2.Quantity.log2","M06.rep3.Quantity.log2","M06.rep4.Quantity.log2","M06.rep5.Quantity.log2","M12.rep1.Quantity.log2","M12.rep2.Quantity.log2","M12.rep3.Quantity.log2","M12.rep4.Quantity.log2","M12.rep5.Quantity.log2","M18.rep1.Quantity.log2","M18.rep2.Quantity.log2","M18.rep3.Quantity.log2","M18.rep4.Quantity.log2","M18.rep5.Quantity.log2","go_molecular_function","go_biological_process","go_cellular_component","kegg_pathway"
"Isy1","Q69ZQ2","ISY1_MOUSE","Pre-mRNA-splicing factor ISY1 homolog",NA,NA,30,100,NA,9.93752536773682,10.5756593704224,9.91732368469239,9.9100606918335,9.61813144683838,9.21026935577393,9.86040592193604,9.42359066009521,10.3403949737549,10.4541778564453,9.60905742645264,10.4696836471558,10.8476858139038,10.1602516174316,10.57945728302,10.8212184906006,9.78451251983643,10.0211572647095,9.86000442504883,10.0625410079956,9.85840320587158,10.0588665008545,9.97551155090332,9.81842613220215,9.90499114990234,9.79250812530518,9.86003112792969,9.45060062408447,9.93220901489258,9.6378698348999,9.20994663238525,9.12509918212891,9.36709117889404,10.0408983230591,8.72722339630127,8.79103469848633,NA,NA,NA,NA
"Srf","Q9JM73","SRF_MOUSE","Serum response factor",NA,NA,30,100,NA,8.45202350616455,8.16505479812622,7.66914339065552,8.02427139282227,7.48189296722412,6.96275787353516,8.48954486846924,8.10744953155518,8.45432281494141,8.73310565948486,8.47569465637207,8.55855369567871,8.05680274963379,8.07249069213867,7.49662446975708,8.64080238342285,8.29550361633301,7.41823434829712,8.1278657913208,7.32925271987915,7.17486047744751,8.16346263885498,8.03892421722412,8.09848785400391,8.07501316070557,7.74546909332275,7.55322694778442,7.38068819046021,7.54390430450439,8.03842258453369,6.89322280883789,7.55086803436279,7.26681995391846,4.72629404067993,7.23076295852661,8.03904438018799,NA,NA,NA,NA
"Nfib","P97863","NFIB_MOUSE","Nuclear factor 1 B-type",NA,NA,30,100,NA,10.7079095840454,10.2023208618164,9.60639514923096,9.49422149658203,9.12992191314697,8.90021228790283,10.7056846618652,10.8596019744873,10.5712442398071,10.7009019851685,10.7021150588989,9.84701156616211,10.1435098648071,10.4479808807373,10.0335931777954,10.5395088195801,9.95999431610107,9.60121059417725,9.91635608673096,9.13277816772461,9.4216365814209,9.38539981842041,9.67582225799561,9.20654678344727,9.67161083221436,9.53172779083252,9.12481307983398,8.68477439880371,8.82728672027588,9.14231204986572,9.87042331695557,8.91228675842285,9.014723777771,8.61576652526855,8.96109676361084,8.99718761444092,NA,NA,NA,NA
"Krr1","Q8BGA5","KRR1_MOUSE","KRR1 small subunit processome component homolog",NA,NA,30,100,NA,10.6998302459717,10.5791707992554,9.85045871734619,9.86262302398682,9.6202838897705,9.14440536499023,10.8736438751221,10.4815397262573,10.564790725708,10.9660081863403,10.6131687164307,10.3914976119995,10.8317251205444,10.4098777770996,10.5873289108276,10.6754245758057,9.83595180511475,9.91037368774414,9.66680908203125,9.97461318969727,9.86454582214355,9.72936630249023,9.94457530975342,9.91576766967773,9.94264984130859,9.7807559967041,10.0390996932983,9.77836513519287,9.66921806335449,9.36639785766602,9.24833869934082,9.06084060668945,9.01620292663574,9.23323059082031,9.03864479064941,9.37310791015625,NA,NA,NA,NA
"P4hb","P09103","PDIA1_MOUSE","Protein disulfide-isomerase",NA,NA,30,100,NA,13.8338449478149,15.0816661834717,15.4518943786621,15.2628175735474,14.9512870788574,14.7463645935059,12.9564971923828,13.8154382705688,13.618200302124,13.7674512863159,15.0116376876831,14.7871942520142,15.0069017410278,15.2704572677612,14.9607048034668,15.3830728530884,15.3860397338867,15.6294727325439,15.4232406616211,15.2233772277832,15.5973415374756,15.5101690292358,15.4017629623413,15.0727453231812,15.283332824707,15.0460777282715,15.4465684890747,14.5688362121582,15.1017246246338,15.3310375213623,14.3082685470581,14.8795042037964,14.5620946884155,14.9197111129761,14.9109678268433,14.459545135498,NA,NA,NA,NA
"Zzz3","Q6KAQ7","ZZZ3_MOUSE","ZZ-type zinc finger-containing protein 3",NA,NA,30,100,NA,7.77181901931763,8.04257431030274,6.5991400718689,6.33573141098022,6.56898450851441,5.89361839294434,8.08211421966553,7.61426496505737,7.7514181137085,8.32045936584473,7.09083843231201,8.12363719940186,8.10337829589844,7.85951614379883,8.38239192962646,7.74394798278809,6.62084054946899,6.79970550537109,6.14178991317749,6.34127712249756,7.09208726882935,6.45683670043945,6.14956331253052,7.07731771469116,6.78627014160156,5.20866918563843,6.10736131668091,6.2355375289917,6.83596515655518,7.38071203231812,6.28534650802612,6.37531328201294,5.75998783111572,4.89773607254028,6.5318717956543,5.90318298339844,NA,NA,NA,NA
"Rsl24d1","Q99L28","RLP24_MOUSE","Probable ribosome biogenesis protein RLP24",NA,NA,30,100,NA,9.53953647613525,9.9615177154541,9.09379386901855,8.97206954956055,8.54911594390869,8.38938264846802,9.34687328338623,9.40386295318604,9.25995540618896,10.3960332870483,9.2909574508667,9.91515636444092,10.1078567504883,9.5925817489624,10.0244932174683,10.1675004959106,8.90394687652588,9.28242969512939,8.99803924560547,9.2398796081543,9.04467391967773,8.55895614624023,9.0923490524292,9.19193649291992,9.08883476257324,8.92827129364014,8.62692356109619,8.64935779571533,9.07954502105713,8.12378311157227,8.26597023010254,8.15736293792725,7.9575572013855,8.74508857727051,8.66940498352051,8.41749954223633,NA,NA,NA,NA
"Hdac6","Q9Z2V5","HDAC6_MOUSE","Histone deacetylase 6",NA,NA,30,100,NA,9.69511032104492,9.50544509887695,8.54458103179931,8.49123573303223,8.29427137374878,7.84077739715576,10.0730972290039,9.54535388946533,9.72597885131836,9.43762302398682,9.6934986114502,9.52178001403809,9.40259170532227,9.32109451293945,9.40086364746094,9.88089561462402,8.72529602050781,8.4802188873291,8.67657947540283,8.37756538391113,8.4632453918457,8.26890468597412,8.72063446044922,8.45067977905273,8.60324764251709,8.41271209716797,8.51131820678711,8.58094787597656,8.04013252258301,8.36122035980225,7.97773790359497,7.7897424697876,8.25839996337891,7.89520025253296,7.47758913040161,7.78295516967773,NA,NA,NA,NA
"Trmt61a","Q80XC2","TRM61_MOUSE","tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A",NA,NA,30,100,NA,8.85630493164062,9.39309482574462,9.60299758911133,9.70727195739746,9.52812690734863,8.89942436218262,8.52008247375488,8.94629573822021,9.08473682403564,8.63139247894287,9.09901714324951,9.22661972045898,9.51215362548828,9.01764583587646,9.1504545211792,10.0586004257202,9.58492374420166,9.53718757629395,9.79511260986328,9.68656539916992,9.41119861602783,9.60757827758789,9.50923919677734,9.82329845428467,9.82413959503174,9.77210426330566,9.90401744842529,9.55727100372314,9.53905963897705,9.65103721618652,8.98924922943115,9.13604831695557,9.43068313598633,9.04151439666748,8.62402153015137,8.26485443115234,NA,NA,NA,NA
"Asns","Q61024","ASNS_MOUSE","Asparagine synthetase [glutamine-hydrolyzing]",NA,NA,30,100,NA,8.98495502471924,9.27798519134521,9.23463840484619,9.21559162139893,8.95501279830933,8.53113126754761,8.96911716461182,8.74350643157959,8.65160846710205,8.30316066741943,10.2573823928833,8.95866584777832,9.61913013458252,9.3034496307373,9.0849437713623,9.42373657226563,9.39160919189453,9.37614917755127,9.10906600952148,9.07893657684326,9.21743106842041,9.18891334533691,9.3495512008667,9.30570220947266,9.47885036468506,8.7549409866333,9.68043327331543,9.628342628479,9.29119873046875,8.56326293945313,7.61182641983032,8.16420459747314,8.60838508605957,9.55463790893555,8.42471790313721,7.90371084213257,NA,NA,NA,NA
